	Food id	Food	Food Short
1	usda#11090	Broccoli	 raw,broccoli
2	usda#01040	Cheese	 swiss,swiss cheese
3	usda#11445	Seaweed	 kelp, raw,kelp
4	usda#15065	Fish	 pollock, Atlantic,pollock
5	usda#09229	Papaya nectar	 canned,papaya
6	usda#11011	Asparagus	 raw,asparagus
7	usda#11676	Radish seeds	 sprouted, raw,radish
8	usda#20083	Wheat flour	 white, bread,white bread
9	usda#20012	Bulgur	 dry,bulgur
10	usda#15004	Fish	 bass, striped,striped bass
11	usda#15129	Fish	 turbot, european,turbot
12	usda#11442	Seaweed	 agar, raw,agar
13	usda#20066	Semolina	 enriched,semolina
14	usda#11300	Peas	 edible-podded, raw,sugar
15	usda#04053	Oil	 olive, salad or cooking,olive oil
16	usda#11156	Chives	 raw,chives
17	usda#15175	Mollusks	 squid, mixed species,squid
18	usda#20031	Millet	 raw,millet
19	usda#04042	Oil	 peanut, salad or cooking,peanut oil
20	usda#20004	Barley	 hulled,barley
21	usda#04002	Lard	lard
22	usda#11278	Okra	 raw,okra
23	usda#04047	Oil	 coconut,coconut
24	usda#11147	Chard	 swiss, raw,swiss chard
25	usda#20028	Couscous	 dry,couscous
26	usda#20035	Quinoa	 uncooked,quinoa
27	usda#06931	Sauce	 pasta, spaghetti/marinara,pasta
28	usda#12135	Nuts	 mixed nuts, dry roasted,mixed nuts
29	usda#11213	Endive	 raw,endive
30	usda#20062	Rye grain	rye bread
31	usda#11457	Spinach	 raw,spinach
32	usda#01032	Cheese	 parmesan, grated,parmesan cheese
33	usda#11109	Cabbage	 raw,cabbage
34	usda#15155	Mollusks	 abalone, mixed species,abalone
35	usda#09160	Lime juice	 raw,lime
36	usda#01004	Cheese	 blue,cheese
37	usda#12061	Nuts	 almonds,nuts
38	usda#11601	Yam	 raw,yam
39	usda#11233	Kale	 raw,kale
40	usda#11505	Sweet potato leaves	 raw,sweet potato
41	usda#15145	Crustaceans	 crayfish, mixed species,crayfish
42	usda#20067	Sorghum grain	sorghum
43	usda#01088	Milk	 buttermilk, fluid,buttermilk
44	usda#01009	Cheese	 cheddar,cheddar cheese
45	usda#16069	Lentils	 raw,lentils
46	usda#01004	Cheese	 blue,cheese
47	usda#16124	Soy sauce made from soy	soy sauce
48	usda#11149	Chayote	 fruit, raw,chayote
49	usda#16138	Falafel	 home-prepared,falafel
50	usda#15033	Fish	 haddock, raw,haddock
51	usda#16128	Tofu	 dried-frozen,tofu
52	usda#15010	Fish	 catfish, channel,catfish
53	usda#15031	Fish	 grouper, mixed species,grouper
54	usda#15115	Fish	 trout, rainbow,rainbow trout
55	usda#04047	Oil	 coconut,coconut
56	usda#16112	Miso	miso
57	usda#11203	Cress	 garden, raw,garden cress
58	usda#01069	Cream substitute	 powdered,sugar substitute
59	usda#13047	Beef	 grass-fed, ground,hamburger
60	usda#04582	Oil	 canola,rapeseed oil
61	usda#17177	Game meat	 rabbit, domesticated,rabbit
62	usda#11656	Corn pudding	 home prepared,pudding
63	usda#20014	Corn grain	 yellow,corn
64	usda#11003	Amaranth leaves	 raw,amaranth
65	usda#11209	Eggplant	 raw,eggplant
66	usda#11413	Potato flour	potato
67	usda#11241	Kohlrabi	 raw,kohlrabi
68	usda#01102	Milk	 chocolate, fluid,chocolate
69	usda#15163	Mollusks	 cuttlefish, mixed species,cuttlefish
70	usda#11250	Lettuce	 butterhead , raw,lettuce
71	usda#11026	Bamboo shoots	 raw,bamboo shoots
72	usda#11135	Cauliflower	 raw,cauliflower
73	usda#11591	Watercress	 raw,watercress
74	usda#11134	Cassava	 raw,cassava
75	usda#09442	Pomegranate juice	 bottled,pomegranate
76	usda#15045	Fish	 lingcod, raw,lingcod
77	usda#15139	Crustaceans	 crab, blue,crab
78	usda#15110	Fish	 swordfish, raw,swordfish
79	usda#11568	Turnip greens	 raw,turnip